X,Y,Y'
78.5,-297.891,-983.709
78.6,-396.262,-844.779
78.7,-480.74,-669.278
78.8,-547.668,-463.497
78.9,-594.018,-235.059
79,-617.523,7.34872
79.1,-616.789,254.311
79.2,-591.358,496.04
79.3,-541.753,722.763
79.4,-469.477,925.109
79.5,-376.966,1094.5
79.6,-267.517,1223.49
79.7,-145.167,1306.13
79.8,-14.5541,1338.18
79.9,119.263,1317.33
80,250.997,1243.38
80.1,375.335,1118.21
80.2,487.156,945.817
80.3,581.738,732.138
80.4,654.952,484.9
80.5,703.442,213.321
80.6,724.774,-72.222
80.7,717.552,-360.587
80.8,681.493,-640.296
80.9,617.463,-899.987
81,527.465,-1128.87
81.1,414.577,-1317.18
81.2,282.859,-1456.57
81.3,137.202,-1540.48
81.4,-16.8457,-1564.45
81.5,-173.291,-1526.32
81.6,-325.923,-1426.38
81.7,-468.562,-1267.38
81.8,-595.3,-1054.51
81.9,-700.751,-795.202
82,-780.272,-498.898
82.1,-830.161,-176.711
82.2,-847.832,158.988
82.3,-831.934,495.041
82.4,-782.43,818.014
82.5,-700.628,1114.73
82.6,-589.156,1372.78
82.7,-451.878,1581.09
82.8,-293.769,1730.32
82.9,-120.737,1813.32
83,60.595,1825.45
83.1,243.14,1764.8
83.2,419.62,1632.35
83.3,582.855,1431.95
83.4,726.05,1170.27
83.5,843.077,856.547
83.6,928.732,502.285
83.7,978.961,120.847
83.8,991.045,-273.054
83.9,963.74,-663.911
84,897.349,-1036.03
84.1,793.746,-1374.15
84.2,656.331,-1664.06
84.3,489.925,-1893.21
84.4,300.603,-2051.22
84.5,95.4813,-2130.34
84.6,-117.552,-2125.82
84.7,-330.135,-2036.19
84.8,-533.753,-1863.31
84.9,-720.084,-1612.44
85,-881.328,-1292.06
85.1,-1010.53,-913.585
85.2,-1101.89,-491
85.3,-1150.99,-40.3233
85.4,-1155.02,420.98
85.5,-1112.93,874.67
85.6,-1025.46,1302.45
85.7,-895.215,1686.68
85.8,-726.547,2011.13
85.9,-525.433,2261.63
86,-299.27,2426.67
86.1,-56.6029,2497.95
86.2,193.192,2470.73
86.3,440.264,2344.14
86.4,674.678,2121.25
86.5,886.803,1809.05
86.6,1067.71,1418.25
86.7,1209.53,962.902
86.8,1305.82,459.93
86.9,1351.82,-71.4977
87,1344.67,-610.694
87.1,1283.6,-1136.25
87.2,1169.97,-1626.86
87.3,1007.29,-2062.21
87.4,801.065,-2423.78
87.5,558.687,-2695.63
87.6,289.123,-2865.1
87.7,2.61393,-2923.34
87.8,-289.72,-2865.82
87.9,-576.303,-2692.52
88,-845.554,-2408.05
88.1,-1086.36,-2021.56
88.2,-1288.52,-1546.49
88.3,-1443.16,-1000.05
88.4,-1543.17,-402.686
88.5,-1583.44,222.736
88.6,-1561.16,851.756
88.7,-1475.99,1459.29
88.8,-1330.06,2020.6
88.9,-1128,2512.31
89,-876.77,2913.36
89.1,-585.433,3205.9
89.2,-264.843,3376.06
89.3,72.7628,3414.57
89.4,414.22,3317.28
89.5,745.948,3085.34
89.6,1054.48,2725.36
89.7,1327.02,2249.16
89.8,1551.93,1673.47
89.9,1719.28,1019.32
90,1821.21,311.326
90.1,1852.35,-423.286
90.2,1810.02,-1155.66
90.3,1694.45,-1856.45
90.4,1508.81,-2497
90.5,1259.11,-3050.49
90.6,954.057,-3493.02
90.7,604.755,-3804.68
90.8,224.287,-3970.39
90.9,-172.752,-3980.6
91,-570.812,-3831.78
91.1,-953.99,-3526.72
91.2,-1306.66,-3074.49
91.3,-1614.11,-2490.24
91.4,-1863.14,-1794.69
91.5,-2042.6,-1013.44
91.6,-2143.95,-176.03
91.7,-2161.55,685.17
91.8,-2093.03,1536.19
91.9,-1939.42,2342.78
92,-1705.14,3071.79
92.1,-1397.96,3692.51
92.2,-1028.71,4177.94
92.3,-610.915,4505.97
92.4,-160.318,4660.31
92.5,305.713,4631.33
92.6,768.846,4416.52
92.7,1210.5,4020.75
92.8,1612.57,3456.24
92.9,1958.2,2742.18
93,2232.42,1904.16
93.1,2422.83,973.211
93.2,2520.15,-15.2858
93.3,2518.62,-1022.94
93.4,2416.33,-2009.83
93.5,2215.35,-2936.07
93.6,1921.74,-3763.39
93.7,1545.4,-4456.71
93.8,1099.73,-4985.64
93.9,601.166,-5325.72
94,68.5945,-5459.57
94.1,-477.363,-5377.72
94.2,-1015.13,-5079.12
94.3,-1523.05,-4571.38
94.4,-1980.18,-3870.64
94.5,-2367.25,-3001.05
94.6,-2667.35,-1994.03
94.7,-2866.76,-887.108
94.8,-2955.47,277.437
94.9,-2927.72,1454.18
95,-2782.31,2596.28
95.1,-2522.68,3657.38
95.2,-2156.94,4593.4
95.3,-1697.6,5364.41
95.4,-1161.16,5936.26
95.5,-567.533,6282.1
95.6,60.6771,6383.57
95.7,699.034,6231.73
95.8,1322.21,5827.58
95.9,1904.96,5182.25
96,2423.19,4316.71
96.1,2854.86,3261.2
96.2,3180.98,2054.14
96.3,3386.39,740.761
96.4,3460.47,-628.512
96.5,3397.62,-2000.03
96.6,3197.62,-3318.98
96.7,2865.72,-4531.54
96.8,2412.56,-5587.1
96.9,1853.85,-6440.29
97,1209.83,-7052.92
97.1,504.534,-7395.69
97.2,-235.036,-7449.49
97.3,-979.985,-7206.39
97.4,-1700.62,-6670.17
97.5,-2367.64,-5856.41
97.6,-2953.28,-4792.13
97.7,-3432.49,-3514.87
